"Name","Screen name","Party","Constituency","Followers","New followers in last 24 hours"
"Zarah Sultana","@zarahsultana","Labour","Coventry South",184225,494
"Yvonne Fovargue ","@Y_FovargueMP","Labour","Makerfield",13723,2
"Yvette Cooper ","@YvetteCooperMP","Labour","Normanton, Pontefract and Castleford",321121,109
"Yasmin Qureshi ","@YasminQureshiMP","Labour","Bolton South East",23321,8
"William Wragg ","@William_Wragg","Conservative","Hazel Grove",15182,-1
"William Cash ","@BillCashMP","Conservative","Stone",20593,-6
"Will Quince ","@willquince","Conservative","Colchester",16684,6
"Wes Streeting ","@wesstreeting","Labour","Ilford North",77976,118
"Wera Hobhouse","@Wera_Hobhouse","Liberal Democrat","Bath",21328,0
"Wendy Morton ","@morton_wendy","Conservative","Aldridge-Brownhills",16518,15
"Wendy Chamberlain","@wendychambLD","Liberal Democrat","North East Fife",5973,11
"Wayne David ","@WayneDavid_MP","Labour","Caerphilly",14533,1
"Virendra Sharma ","@VirendraSharma","Labour","Ealing, Southall",19805,4
"Victoria Prentis ","@VictoriaPrentis","Conservative","Banbury",12652,-2
"Vicky Foxcroft ","@vickyfoxcroft","Labour","Lewisham, Deptford",20843,0
"Vicky Ford","@vickyford","Conservative","Chelmsford",20563,0
"Valerie Vaz ","@Valerie_VazMP","Labour","Walsall South",7840,0
"Tulip Siddiq ","@TulipSiddiq","Labour","Hampstead and Kilburn",160346,39
"Tracy Brabin ","@TracyBrabin","Labour","Batley and Spen",66003,6
"Tracey Crouch ","@tracey_crouch","Conservative","Chatham and Aylesford",38983,3
"Tony Lloyd","@tony4rochdale","Labour","Rochdale",9005,1
"Tonia Antoniazzi","@ToniaAntoniazzi","Labour","Gower",15616,1
"Tommy Sheppard ","@TommySheppard","Scottish National Party","Edinburgh East",36280,-1
"Tom Tugendhat ","@TomTugendhat","Conservative","Tonbridge and Malling",80585,696
"Tom Randall","@Tom_Randall","Conservative","Gedling",3824,4
"Tom Pursglove ","@VotePursglove","Conservative","Corby",12837,0
"Tom Hunt","@tomhunt1988","Conservative","Ipswich",9396,4
"Toby Perkins ","@tobyperkinsmp","Labour","Chesterfield",27826,5
"Tobias Ellwood","@Tobias_Ellwood","Conservative","Bournemouth East",63417,99
"Tim Loughton ","@timloughton","Conservative","East Worthing and Shoreham",21040,0
"Tim Farron","@timfarron","Liberal Democrat","Westmorland and Lonsdale",280428,14
"Theresa May ","@theresa_may","Conservative","Maidenhead",997503,37
"Theo Clarke","@theodoraclarke","Conservative","Stafford",7474,-1
"Thangam Debbonaire ","@ThangamMP","Labour","Bristol West",29324,-3
"Tanmanjit Singh Dhesi","@TanDhesi","Labour","Slough",90303,90
"Taiwo Owatemi","@TaiwoOwatemi","Labour","Coventry North West",17880,-5
"Tahir Ali","@TahirAliMP","Labour","Birmingham, Hall Green",3147,3
"Suzanne Webb","@Q66Suzi","Conservative","Stourbridge",4349,0
"Suella Fernandes ","@SuellaBraverman","Conservative","Fareham",30383,-5
"Stuart Paul Anderson","@Stuart4WolvesSW","Conservative","Wolverhampton South West",6564,4
"Stuart C. McDonald ","@Stuart_McDonald","Scottish National Party","Cumbernauld, Kilsyth and Kirkintilloch East",13365,1
"Stuart Andrew","@StuartAndrew","Conservative","Pudsey",19071,-2
"Stewart Malcolm McDonald ","@StewartMcDonald","Scottish National Party","Glasgow South",34658,11
"Stewart Hosie ","@StewartHosieSNP","Scottish National Party","Dundee East",28352,0
"Steven Bonnar","@StevenBonnarSNP","Scottish National Party","Coatbridge, Chryston and Bellshill",3630,5
"Steven Baker ","@SteveBakerHW","Conservative","Wycombe",114071,77
"Steve Reed ","@SteveReedMP","Labour","Croydon North",34390,-3
"Steve McCabe ","@steve_mccabe","Labour","Birmingham, Selly Oak",18156,-1
"Steve Double ","@stevedouble","Conservative","St Austell and Newquay",14350,1
"Steve Brine","@BrineMP","Conservative","Winchester",11211,4
"Stephen Timms ","@stephenctimms","Labour","East Ham",17809,-1
"Stephen Morgan","@StephenMorganMP","Labour","Portsmouth South",13409,12
"Stephen Metcalfe ","@Metcalfe_SBET","Conservative","South Basildon and East Thurrock",7033,2
"Stephen McPartland ","@SMcPartland","Conservative","Stevenage",14670,2
"Stephen Kinnock ","@SKinnock","Labour","Aberavon",34866,-2
"Stephen Hammond","@S_Hammond","Conservative","Wimbledon",19503,1
"Stephen Flynn","@StephenFlynnSNP","Scottish National Party","Aberdeen South",5740,2
"Stephen Farry","@StephenFarryMP","Alliance Party of Northern Ireland","North Down",13993,9
"Stephen Doughty ","@SDoughtyMP","Labour","Cardiff South and Penarth",34670,10
"Stephen Crabb ","@SCrabbPembs","Conservative","Preseli Pembrokeshire",22834,2
"Stephen Barclay ","@SteveBarclay","Conservative","North East Cambridgeshire",32412,-2
"Stephanie Peacock","@Steph_Peacock","Labour","Barnsley East",9983,0
